Article Title,Abstract,DOI,Wer schaut's an?,Discussion result...5,Assessment Claus,Assessment Birte,Kommentare Claus,Kommentare Birte,Gleiches Assssment,Discussion result...11,Discussion Comments,Mathodology: Case Study?,Methodology: Empirical?,Methodology: Details,Methodology: specify other,Comments,Core,SecStage Assessment of 1st stage no-core,How does the paper frame degrowth w.r.t. GS? (only when drop),Central insights?,SecStageCore: central insights,SecStageCore Classification  (Narrative),SecStageCore Classification  (Methodology),SecStageCoreComments,New comments,Core_Final,Sample
Strains and stresses in an epitaxial Ni(111)/Mo(110) multilayer grown by direct ion beam sputtering,"An epitaxial Ni(111)/Mo(110) multilayer was grown on a (11 (2) over bar0) oriented monocrystalline sapphire substrate in a high vacuum sputtering deposition system. The strain and stress state of the layers has been measured with X-ray diffraction in symmetric and asymmetric geometries. Non-equal biaxial coherency stresses due to the Nishiyama-Wassermann epitaxial relation between both lattices are clearly evidenced, The Values of the stress-free lattice parameters of molybdenum and nickel sublayers, deduced from the global stress analysis, supports the hypothesis of an interfacial alloying effect between layers with diffusion of nickel in the Mo layers and, to a lesser degree, of molybdenum in Ni layers. Oil the other hand, the Ni layers appear nearly fully relaxed, A detailed analysis of the stresses in the film shows a strong contribution of a compressive stress field due to possible post-growth atomic rearrangements occurring inside the multilayered film. (C) 2002 Elsevier Science B.V. All rights reserved.",10.1016/S0169-4332(01)00736-X,Birte,,,No,,lol,NA,,,,,,,,,,,,,,,,,FALSE,April
Top-down approaches for measuring expression ratios of intact yeast proteins using Fourier transform mass spectrometry,"The extension of quantitation methods for small peptides to ions above 5 kDa, and eventually to global quantitative proteomics of intact proteins, will require extensive refinement of current analytical approaches. Here we evaluate postgrowth Cys-labeling and N-14/N-15 metabolic labeling strategies for determination of relative protein expression levels and their posttranslational modifications using top-down mass spectrometry (MS). We show that intact proteins that are differentially alkylated with acrylamide (+71 Da) versus iodoacetamide (+57 Da) have substantial chromatographic shifts during reversed-phase liquid chromatography separation (particularly in peak tails), indicating a requirement for stable isotopes in alkylation tags for top-down MS. In the N-14/N-15 metabolic labeling strategy, we achieve 98% N-15 incorporation in yeast grown 10 generations under aerobic conditions and determine 50 expression ratios using Fourier transform ion cyclotron resonance MS in comparing these cells to anaerobically grown control (N-14) cells. We devise quantitative methods for top-down analyses, including a correction factor for accurate protein ratio determination based upon the signal-to-noise ratio. Using a database of 200 yeast protein forms identified previously by top-down MS, we verify the intact mass tag concept for protein identification without tandem MS. Overall, we find that top-down MS promises work flows capable of large-scale proteome profiling using stable isotope labeling and the determination of > 5 protein ratios per spectrum.",10.1021/ac050993p,Claudius,,No,,Not about degrowth,,NA,,,,,,,,,,,,,,,,,FALSE,April
"DEGROWTH BUT, WHERE?","It is almost impossible to disagree with a proposal seeking to slow things down to minimize harm to the planet. However, the question is where. The manifesto in The Case for Degrowth acknowledges the challenge of asking distinct populations to lower their economic growth and well-being. They suggest alliances, echoing the commons, and highlight ancient cultural traditions that have envisioned other worlds. In contrast, the discussion offered by Deepak Lamba-Nieves through the case of Puerto Rico and its colonial subjugation - shared or equivalent to many in the Global South and elsewhere - asks us to reflect upon who is demanding or expecting us to degrowth.",,Claudius,,Yes,,"This was an excerpt from their book ""The Case for Degrowth""; what to do?",,,,,,,,,,Not core,Drop,,,,,,,,FALSE,November
Hyper-individualism and ultrasociality in a Veblenian framework,"In a series of articles Gowdy and Krall (2013, 2016a, 2016b) framed the process of cumulative social change as a codevelopment of hyper-individualism and ultrasociality. They argue that at the macro level the 'global economic system' behaves as a superorganism which has co-opted human beings' cooperative propensity in order to continuously expand its surplus value, appropriating an ever-larger share of natural resources. At the micro level, the neoliberal era has legitimized increased competition among individuals and has led to a hyper focus on the maximization of individual consumption. In their social context individuals appear to be largely oblivious or dismissive of the growing superorganism as is evidenced by public unwillingness to address situations of global environmental stress. In the context of Veblen's evolutionary thinking, this paper comments on Gowdy and Krall's articles by discussing two potential venues to 'tame' the superorganism: de-growth and post nationalism. It is argued that the former may be a solution only as a result of a severe (ecological) collapse scenario. Thus if the social desire to modify the superorganism exists it will have a greater chance to succeed as a post-national project that would provide a structural scaffolding to place the superorganism within human control. (C) 2016 Elsevier B.V. All rights reserve.",10.1016/j.ecolecon.2016.09.024,Claudius,,Yes,,,,,,,,,,,,Not core,Drop,,,,,,,,FALSE,November
Post-Growth in the Global South? Some Reflections from India and Bhutan,"The critique of growth is one of the defining features of ecological economics. Yet ecological economists have had relatively little to say about post-growth in the global South. In this article, we propose a new definition of post-growth as the combined application and theorization of degrowth, agrowth, steady-state economics and post-development. We then discuss with special reference to India seven ways of thinking about post-growth in the global South. Starting with the basic observation that the current patterns of growth-fueled development are ecologically, socially and financially unsustainable, we argue that serious post-growth thinking can only be world-systemic and rooted in class analyses. We then point out that the GDP growth against poverty connection is debatable and we instead argue, normatively, that an effective post-growth program should focus on fulfilled needs and on wealth redistribution. Against the idea that growth-critical approaches have their origin in industrialized countries, we show that many post-growth ideas have non-Western roots and a substantial number of potential contemporary allies in the global South. Discussing the example of Bhutan, we suggest that preliminary elements of a post-growth program are not as utopian as it might sound.",10.1016/j.ecolecon.2018.02.020,Claudius,,Yes,,,,,,,,,,,,Core,,,,,Commonalities,Theoretical,,,Core,November
Morphology-dependent luminescence from ZnO nanostructures - An X-ray excited optical luminescence study at the Zn K-edge,"On a synthetise des nanostructures de ZnO par evaporation thermique de substrats contenant de l'etain. On a trouve que les morphologies des nanostructures sont gouvernees par les conditions de croissance, la vitesse d'ecoulement du gaz porteur et la nature du substrat, avec ou sans catalyseur. Utilisant des energies photoniques d'excitation sur l'arete K du zinc, on a pu observer de la luminescence optique excitee par les rayons X a partir de nanostructures de ZnO de morphologies comportant des differences importantes dans le domaine du temps et de l'energie. Des etudes de luminescence optique excitee par les rayons X << XEOL >> et par la spectroscopie de la structure fine d'absorption des rayons X pres du seuil << XANES >> ont clairement demontre l'importance de la morphologie sur les proprietes optiques du ZnO. Il en emerge une correlation entre la luminescence et la morphologie, la taille et la cristallinite.",10.1139/V09-115,Claudius,,No,,Different focus,,,,,,,,,,,,,,,,,,,FALSE,November
"Geographies of degrowth: Nowtopias, resurgences and the decolonization of imaginaries and places","The term 'decroissance' (degrowth) signifies a process of political and social transformation that reduces a society's material and energy use while improving the quality of life. Degrowth calls for decolonizing imaginaries and institutions from - in Ursula Le Guin's words - 'a one-way future consisting only of growth'. Recent scholarship has focused on the ecological and social costs of growth, on policies that may secure prosperity without growth, and the study of grassroots alternatives pre-figuring a post-growth future. There has been limited engagement, however, with the geographical aspects of degrowth. This special issue addresses this gap, looking at the rooted experiences of peoples and collectives rebelling against, and experimenting with alternatives to, growth-based development. Our contributors approach such resurgent or 'nowtopian' efforts from a decolonial perspective, focusing on how they defend and produce new places, new subjectivities and new state relations. The stories told span from the Indigenous territories of the Chiapas in Mexico and Adivasi communities in southern India, to the streets of Athens, the centres of power in Turkey and the riverbanks of West Sussex.",10.1177/2514848619869689,Claudius,,No,,"Relevant topic, but only an editorial",,,,,,,,,,,,,,,,,,,FALSE,November
"Global recovery requires degrowth, not ever increasing GDP",,10.1136/bmj.n2657,Claudius,,No,,Article cannot be found,,,,,,,,,,,,,,,,,,,FALSE,November
Trade and Development Report 2019. Financing a Global Green New Deal.,,10.1111/dech.12666,Claudius,,No,,Abstract missing; in main text no reference to degrowth,,,,,,,,,,,,,,,,,,,FALSE,November
Distributed degrowth technology: Challenges for blockchain beyond the green economy,"This commentary considers the challenges and trade-offs in using blockchain as the facilitating digital infrastructure for degrowth projects. A blockchain is simply a distributed database. The technology is being used for a wide range of applications relevant to economic exchange and environmental sustainability. Many degrowth scholars wholly reject technical fixes for politically induced environmental crises, seeing blockchain projects as wasteful and counter to convivial social relations. Others highlight the technology's potential for facilitating redistributive and regenerative economies, but without much detail. This paper argues that if blockchain is ever to prove useful for the degrowth movement it would need to overcome challenges in three important areas: 1) building democratic and (re)distributive economies, 2) regenerating the environment without commodifying it, and 3) facilitating international alliances without imposing a particular set of values. What is certain is that technology on its own will not transcend the political struggles tackled by degrowth activists. However, under certain conditions, blockchain might make those struggles more effective.",10.1016/j.ecolecon.2021.107020,Claudius,,No,,Different focus,,,,,,,,,,,,,,,,,,,FALSE,November
