Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,search_language
J,"Sharpley, R",,,,"Sharpley, Richard",,,Tourism and Development Theory: Which Way Now?,TOURISM PLANNING & DEVELOPMENT,,,English,Article,,,,,,Development theory; modernisation theory; dependency theory; environmental crisis; degrowth,ECONOMICS; GROWTH; STATE,"Tourism has long been explored through the lens of development theory. David Harrison was one of the earlier academics to do so, subsequently turning his attention to critiquing the relevance of such theory to tourism, concluding that although much tourism research has been framed within it, development theory has contributed little if anything to knowledge and understanding of the tourism-development nexus. Recognising David Harrison's contribution to the field, this paper reviews his critique of development theory as related to tourism before going on to suggest that the increasingly popular notion of degrowth offers an alternative conceptual lens though which tourism and development may be viewed. More specifically, it argues that within the context of the global environmental crisis and the need to address growth-inspired excessive production and consumption, degrowth can be considered a viable approach to or theory of development that demands attention in the context of tourism.","[Sharpley, Richard] Univ Cent Lancashire, Sch Management, Preston, Lancs, England",University of Central Lancashire,"Sharpley, R (corresponding author), Univ Cent Lancashire, Sch Management, Preston, Lancs, England.",rajsharpley@uclan.ac.uk,,,,,,,,4,4,5,11,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",,,,TOUR PLAN DEV,Tour. Plan. Dev.,JAN 2,2022,19,1,,,SI,,1,12,,10.1080/21568316.2021.2021475,0,,DEC 2021,12,"Hospitality, Leisure, Sport & Tourism",,Social Sciences - Other Topics,YW1DI,,"hybrid, Green Accepted",,,2023-06-02,WOS:000736050100001,0,en
J,"Bendix, D",,,,"Bendix, Daniel",,,Reflecting the Post-Development gaze: the degrowth debate in Germany,THIRD WORLD QUARTERLY,,,English,Article,,,,,,Post-Development; degrowth; Postwachstum; Global North; Germany; global inequalities,DEVELOPMENT DISCOURSE; POSTDEVELOPMENT; MOVEMENT,"Post-Development has reproduced the 'development gaze' by focusing on interventions and struggles in the South. This paper draws attention to the German version of degrowth, Postwachstum, as a possible Post-Development approach in the North. It thus contributes to the Post-Development agenda by including the North as a 'development' problem and by overcoming the view of the North as a homogeneous neo-liberal, capitalist, Eurocentric bloc. The paper examines key Postwachstum contributions with regard to their correspondence to insights of and gaps in the Post-Development debate. It argues that Postwachstum needs to include a postcolonial perspective on global inequalities and question the 'development'-modernity-coloniality nexus more profoundly in order to provide a valuable contribution to the Post-Development agenda.","[Bendix, Daniel] Univ Kassel, Inst Polit Sci, Fac Social Sci, Dept Dev & Postcolonial Studies, Kassel, Germany",Universitat Kassel,"Bendix, D (corresponding author), Univ Kassel, Inst Polit Sci, Fac Social Sci, Dept Dev & Postcolonial Studies, Kassel, Germany.",danyellow@posteo.de,,,"DFG Research Group 'Landnahme, Acceleration, Activation. Dynamic(s) and (de-)stabilisation of modern growth societies' at Friedrich Schiller University Jena","DFG Research Group 'Landnahme, Acceleration, Activation. Dynamic(s) and (de-)stabilisation of modern growth societies' at Friedrich Schiller University Jena","I would like to thank Aram Ziai and the reviewers for their helpful advice. This work was supported by the DFG Research Group 'Landnahme, Acceleration, Activation. Dynamic(s) and (de-)stabilisation of modern growth societies' at Friedrich Schiller University Jena.",,,4,4,2,14,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",,,,THIRD WORLD Q,Third World Q.,,2017,38,12,,,SI,,2617,2633,,10.1080/01436597.2017.1314761,0,,,17,Development Studies,,Development Studies,FO1PX,,,,,2023-06-02,WOS:000416536700007,0,en
J,"Dengler, C; Seebacher, LM",,,,"Dengler, Corinna; Seebacher, Lisa Marie",,,What About the Global South? Towards a Feminist Decolonial Degrowth Approach,ECOLOGICAL ECONOMICS,,,English,Article,,,,,,Degrowth; Decoloniality; Postcolonial Theory; Feminist Standpoint Theory; Post-Development; Environmental Justice,LESSONS; CRISIS,"Degrowth calls for a profound socio-ecological transformation towards a socially just and environmentally sound society. So far, the global dimensions of such a transformation in the Global North have arguably not received the required attention. This article critically reflects on the requirements of a degrowth approach that promotes global intragenerational justice without falling into the trap of reproducing (neo-)colonial continuities. Our account of social justice is inherently tied to questions of gender justice. A postcolonial reading of feminist standpoint theory provides the theoretical framework for the discussion. In responding to two main points of criticism raised by feminist scholars from the Global South, it is argued that degrowth activism and scholarship has to reflect on its coloniality and necessarily needs to seek alliances with social movements from around the world on equal footing. Acknowledging that this task is far from easy, some cornerstones of a feminist decolonial degrowth approach are outlined.","[Dengler, Corinna] Univ Vechta, Feminist Econ, Vechta, Germany; [Seebacher, Lisa Marie] Ctr Social Innovat, Vienna, Austria",,"Dengler, C (corresponding author), Univ Vechta, Feminist Econ, Vechta, Germany.",corinna.dengler@uni-vechta.de; seebacher@zsi.at,,,,,,,,36,36,3,29,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",,,,ECOL ECON,Ecol. Econ.,MAR,2019,157,,,,,,246,252,,10.1016/j.ecolecon.2018.11.019,0,,,7,Ecology; Economics; Environmental Sciences; Environmental Studies,,Environmental Sciences & Ecology; Business & Economics,HJ1CP,,,,,2023-06-02,WOS:000456899800023,0,en
J,"Satrustegui, KU",,,,"Unceta Satrustegui, Koldo",,,"DEGROWTH AND BUENVIVIR, CONVERGING PARADIGMS? DEBATES ON THE POST-DEVELOPMENT IN EUROPE AND LATIN AMERICA",REVISTA DE ECONOMIA MUNDIAL,,,Spanish,Article,,,,,,Post-development; Degrowth; BuehVivir,,"Debates on post-development continue to occupy a prominent place both within the academic and social spheres. Within this context, post-development approaches such as Buen Vivir - which emerged in Andean America - and degrowth - originating initially in Europe and specifically in France are usually treated as equivalent proposals that share the same ground and represent similar alternatives. This work, interrogating the relevant literature on both approaches, investigates the reality of this assumption, analyzing the scope of possible convergences and/or divergences between them.","Univ Basque Country, EHU, Inst Hegoa, E-48080 Bilbao, Spain",University of Basque Country,"Satrustegui, KU (corresponding author), Univ Basque Country, EHU, Inst Hegoa, E-48080 Bilbao, Spain.",koldo.unceta@ehu.es,,,,,,,,1,1,0,31,"UNIV HUELVA, SERV PUBLICACIONES",HUELVA,"CAMPUS EL CARMEN, EDIFICIO MARIE CURIE, AVENIDA FUERZAS ARMADAS S-N, HUELVA, 21071, SPAIN",,,,REV ECON MUND,Rev. Econ. Mund.,,2013,,35,,,,,197,216,,,,,,20,Economics,,Business & Economics,AD8VE,,,,,2023-06-02,WOS:000333543000013,0,en
J,"Nirmal, P; Rocheleau, D",,,,"Nirmal, Padini; Rocheleau, Dianne",,,"Decolonizing degrowth in the post-development convergence: Questions, experiences, and proposals from two Indigenous territories",ENVIRONMENT AND PLANNING E-NATURE AND SPACE,,,English,Article,,,,,,Decolonial theory; degrowth; food sovereignty; Indigenous resistance; resurgence,RELATIONAL WEBS; REFLECTIONS; LAND,"A growing coalition of degrowth scholar-activist(s) seeks to transform degrowth into an interdisciplinary and international field bridging a rising network of social and environmental justice movements. We offer constructive decolonial and feminist critiques to foster their productive alliances with multiple feminisms, Indigenous, post-development and pluriversal thought and design (Escobar, 2018), and people on the ground. Our suggested pathway of decolonial transition includes re-situating degrowth relative to the global south and to Indigenous and other resistance movements. We see this decolonial degrowth as a profoundly material strategy of recovery, renewal, and resistance (resurgence) through practices of re-rooting and re-commoning. To illustrate what we mean by resurgence we draw from two examples where people are engaged in ongoing struggles to protect their territories from the impacts of rampant growth-Zapatista and allied Indigenous groups in Mexico, and three Adivasi communities in the Attappady region of southern India. They are building economies and ecologies of resurgence and simultaneous resistance to growth by deterritorialization. We argue that a decolonized degrowth must be what the growth paradigm is not, and imagine what does not yet exist: our separate and collective socio-ecological futures of sufficiency and celebration in the multiple worlds of the pluriverse. Together, the two cases demonstrate pathways to autonomy, sufficiency, and resurgence of territories and worlds, through persistence, innovation, and mobilization of traditional and new knowledges. We offer these as teachers for the transition to decolonial degrowth.","[Nirmal, Padini; Rocheleau, Dianne] Clark Univ, Worcester, MA 01610 USA",Clark University,"Nirmal, P (corresponding author), Columbia Univ, Learning & Evaluat Program, Women Peace & Secur Program, Earth Inst, 475 Riverside Dr,AC4, New York, NY 10115 USA.",pn2338@columbia.edu,,,National Science Foundation s Doctoral Dissertation Research Improvement (DDRI) Grant; American Institute of Indian Studies,National Science Foundation s Doctoral Dissertation Research Improvement (DDRI) Grant; American Institute of Indian Studies,"The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: The authors would like to gratefully acknowledge research support from the National Science Foundation s Doctoral Dissertation Research Improvement (DDRI) Grant and a Junior Research Fellowship from the American Institute of Indian Studies.",,,44,44,1,3,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",,,,ENVIRON PLAN E-NAT,Environ. Plan. E-Nat. Space,SEP,2019,2,3,,,SI,,465,492,,10.1177/2514848618819478,0,,,28,Environmental Studies; Geography,,Environmental Sciences & Ecology; Geography,VK8CX,,Bronze,,,2023-06-02,WOS:000755970900003,0,en
J,"Lloveras, J; Marshall, AP; Vandeventer, JS; Pansera, M",,,,"Lloveras, Javier; Marshall, Adam P.; Vandeventer, James S.; Pansera, Mario",,,Sustainability marketing beyond sustainable development: towards a degrowth agenda,JOURNAL OF MARKETING MANAGEMENT,,,English,Article,,,,,,Sustainability marketing; sustainable marketing; degrowth; post-growth; sustainable development,COMMODITY FETISHISM; CONSUMPTION; ENGAGEMENT; STRATEGY; POLITICS; SOCIETY; ECONOMY; GROWTH; ENERGY; DRIVE,"Drawing on ecological economics, post-development studies, and political ecology, this paper argues that sustainable development notions have run their course within sustainability marketing debates and proposes degrowth as an alternative framework to steer disciplinary debates in new directions. We chart unexplored territory, offering sustainability marketing scholars tools to navigate degrowth-minded policies, transformative frameworks, and business models. In doing so, our work contributes to existing sustainability marketing debates in three ways: first, we respond to the paucity of studies engaging with the political economy of sustainability marketing. Second, we make visible the tensions and contradictions that arise as marketers seek to reconcile imperatives of economic growth and sustainability. Finally, we foreground degrowth as an emerging sustainability proposition, with potential for inspiring the radical set of transformations required to avert catastrophic climate change and keep global temperatures well below +2 degrees C (relative to pre-industrial levels), as pledged in the Paris Agreement.","[Lloveras, Javier; Pansera, Mario] Univ Vigo, Postgrowth Innovat Lab, Vigo, Pontevedra, Spain; [Marshall, Adam P.] Cardiff Univ, Sch Geog & Planning, Cardiff, Wales; [Vandeventer, James S.] Univ Huddersfield, Dept Management, Huddersfield, W Yorkshire, England",Universidade de Vigo; Cardiff University; University of Huddersfield,"Lloveras, J (corresponding author), Univ Vigo, Post Growth Innovat Lab, Sede Xunta Galicia, Rua Benito Corbal 52,54, Pontevedra 36001, Spain.",Javier.lloveras@uvigo.es,,,"H2020 European Research Council [ERC] [947713, H2020/101003491]",H2020 European Research Council [ERC](European Research Council (ERC)),"The work was supported by the H2020 European Research Council [ERC Starting Grant/947713, H2020/101003491].",,,4,4,8,15,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",,,,J MARKET MANAG-UK,J. Market. Manag.,NOV 22,2022,38,17-18,,,,,2055,2077,,10.1080/0267257X.2022.2084443,0,,JUN 2022,23,Business; Management,,Business & Economics,9F4JZ,,,,,2023-06-02,WOS:000810418000001,0,en
J,"Sklair, L",,,,"Sklair, Leslie",,,"'Development, post-development, and the pluriverse'",GLOBALIZATIONS,,,English,Review; Early Access,,,,,,Pluriverse; post-development; sustainable development; degrowth; Indigenous communities; global south,,"The Pluriverse is the latest in a line of critical conceptual dictionaries problematizing the idea of 'development' from a variety of left-leaning progressive perspectives. The editors provide a lengthy set of introductions and rationales for the book, followed by a number of essays on why 'reformist solutions' won't work. The core of the book: 'A People's Pluriverse: Transformative Initiatives' consists of about 80 shorter essays by scholars and scholar-activists from all over the world, focused on the project to establish the idea of the pluriverse as the alternative to Sustainable Development and (in most cases) global capitalist hegemony, arguing for the pluriverse as a more life-enhancing foundation on which to build the theory and practice of a better world. The book is almost unique in terms of the conceptual range and geographical scope of the contributors.","[Sklair, Leslie] London Sch Econ, London, England",University of London; London School Economics & Political Science,"Sklair, L (corresponding author), London Sch Econ, London, England.",l.sklair@lse.ac.uk,,,,,,,,1,1,2,8,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",,,,GLOBALIZATIONS,Globalizations,2021 APR 30,2021,,,,,,,,,,10.1080/14747731.2021.1917870,0,,APR 2021,10,"International Relations; Social Sciences, Interdisciplinary",,International Relations; Social Sciences - Other Topics,RX3DY,,,,,2023-06-02,WOS:000647107700001,0,en
J,"Cubillo-Guevara, AP; Hidalgo-Capitan, AL",,,,"Patricia Cubillo-Guevara, Ana; Luis Hidalgo-Capitan, Antonio",,,"THE TRANS-DEVELOPMENT AS MANIFESTATION OF THE TRANS-MODERNITY. BEYOND SUBSISTENCE, DEVELOPMENT AND POST-DEVELOPMENT",REVISTA DE ECONOMIA MUNDIAL,,,Spanish,Article,,,,,,Trans-Development; Trans-Modernity; Degrowth; Good Living,,"In the XXI century four different worldviews coexist, pre-modernity, modernity, post-modernity and trans-modernity, each of which corresponds to a paradigm of welfare, subsistence, development, post-development and trans development. In this paper we analyzed the four worldviews and the four paradigms and we notes as trans-modernity is the result of the synthesis between pre-modernity, modernity and post-modernity and as trans-development is the result of the synthesis between subsistence, development and post-development. In addition we define such concepts and degrowth and good living concepts that we consider as manifestations of trans-development, and we exemplify its praxis in the eco-village Findhorn and the indigenous community of Sarayaku.","[Patricia Cubillo-Guevara, Ana; Luis Hidalgo-Capitan, Antonio] Univ Huelva, Proyecto FIUCUHU, Huelva, Spain",Universidad de Huelva,"Cubillo-Guevara, AP (corresponding author), Univ Huelva, Proyecto FIUCUHU, Huelva, Spain.",anapcubillo@telefonica.net; alhc@uhu.es,,,,,,,,0,0,0,8,"UNIV HUELVA, SERV PUBLICACIONES",HUELVA,"CAMPUS EL CARMEN, EDIFICIO MARIE CURIE, AVENIDA FUERZAS ARMADAS S-N, HUELVA, 21071, SPAIN",,,,REV ECON MUND,Rev. Econ. Mund.,,2015,,41,,,,,127,157,,,,,,31,Economics,,Business & Economics,DI5EH,,,,,2023-06-02,WOS:000373521200006,0,en
J,"Demaria, F; Kothari, A",,,,"Demaria, Federico; Kothari, Ashish",,,The Post-Development Dictionary agenda: paths to the pluriverse,THIRD WORLD QUARTERLY,,,English,Article,,,,,,Well-being; sustainability; degrowth; buen vivir; ecofeminism; transition,DEGROWTH,"This article lays out both a critique of the oxymoron 'sustainable development', and the potential and nuances of a Post-Development agenda. We present ecological swaraj from India and Degrowth from Europe as two examples of alternatives to development. This gives a hint of the forthcoming book, provisionally titled The Post-Development Dictionary, that is meant to deepen and widen a research, dialogue and action agenda for activists, policymakers and scholars on a variety of worldviews and practices relating to our collective search for an ecologically wise and socially just world. This volume could be one base in the search for alternatives to United Nations' 2030 Agenda for Sustainable Development, in an attempt to truly transform the world. In fact, it is an agenda towards the pluriverse: 'a world where many worlds fit', as the Zapatista say.","[Demaria, Federico] Univ Autonoma Barcelona, Inst Environm Sci & Technol, Res & Degrowth, Barcelona, Spain; [Kothari, Ashish] Kalpavriksh Environm Act Grp, Pune, Maharashtra, India",Autonomous University of Barcelona,"Demaria, F (corresponding author), Univ Autonoma Barcelona, Inst Environm Sci & Technol, Res & Degrowth, Barcelona, Spain.",federicodemaria@gmail.com,,,European Research Council [GA 695446]; Spanish government [CSO2014-54513-R],European Research Council(European Research Council (ERC)European Commission); Spanish government(Spanish Government),"Federico Demaria and Ashish Kothari acknowledge the support of the European Research Council for the EnvJustice project [GA 695446], and Federico also of the Spanish government for the SINALECO project [CSO2014-54513-R].",,,52,53,2,28,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",,,,THIRD WORLD Q,Third World Q.,,2017,38,12,,,SI,,2588,2599,,10.1080/01436597.2017.1350821,0,,,12,Development Studies,,Development Studies,FO1PX,,Green Accepted,,,2023-06-02,WOS:000416536700005,0,en
J,"Singh, NM",,,,"Singh, Neera M.",,,"Environmental justice, degrowth and post-capitalist futures",ECOLOGICAL ECONOMICS,,,English,Article,,,,,,Post-Growth; Degrowth; Environmental Justice; Commons; Care; Post-Capitalist Alternatives,,"Struggles for Environmental Justice, more widespread in the global South, are often framed as traditional societies defending old ways of life; while degrowth, a relatively new movement in the global North is seen as striving for a new ways of life. I argue that both assert or aspire for other ways of being and belonging to the world and open possibilities for post-capitalist futures. In this Commentary, I focus on ontological continuities between the two movements and the grounds for alliance building. I argue that EJ and degrowth movements need to not only learn from each other, but think with the actual practices on the ground and the epistemologies of the South to foster pluriversal world-making practices. Moreover, dialogues and alliance between the two movements can help to reconceptualize work and care in a post-production, post-growth world.","[Singh, Neera M.] Univ Toronto, Geog & Planning, 100 St Gene St, Toronto, ON M5S 3G3, Canada",University of Toronto,"Singh, NM (corresponding author), Univ Toronto, Geog & Planning, 100 St Gene St, Toronto, ON M5S 3G3, Canada.",neera.singh@utoronto.ca,,,,,,,,23,23,6,28,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",,,,ECOL ECON,Ecol. Econ.,SEP,2019,163,,,,,,138,142,,10.1016/j.ecolecon.2019.05.014,0,,,5,Ecology; Economics; Environmental Sciences; Environmental Studies,,Environmental Sciences & Ecology; Business & Economics,IH2MT,,,,,2023-06-02,WOS:000474329600014,0,en
